status,group,type,id,name,url,slug
exists,ethic,discipline,1,angewandte Ethik,https://www.philosophie.ch/angewandte-ethik,angewandte-ethik
exists,ethic,discipline,56,Philosophie der Geistes- und Sozialwissenschaften,https://www.philosophie.ch/philosophie-der-sozialwissenschaften,philosophie-der-sozialwissenschaften
exists,ethic,discipline,,politische Philosophie,https://www.philosophie.ch/politische-philosophie,politische-philosophie
exists,ethic,discipline,7,Rechtsphilosophie,https://www.philosophie.ch/rechtsphilosophie,rechtsphilosophie
exists,ethic,discipline,58,Religionsphilosophie,https://www.philosophie.ch/religionsphilosophie,religionsphilosophie
exists,ethic,discipline,4,Sozialphilosophie,https://www.philosophie.ch/philosophie-des-sozialen,philosophie-des-sozialen
exists,ethic,discipline,2,theoretische Ethik,https://www.philosophie.ch/theoretische-ethik,theoretische-ethik
exists,history,discipline,31,Deutscher Idealismus,https://www.philosophie.ch/idealismus,idealismus
exists,history,discipline,21,Ideengeschichte,https://www.philosophie.ch/ideengeschichte,ideengeschichte
exists,history,discipline,27,Philosophie der Antike,https://www.philosophie.ch/antike-philosophie,antike-philosophie
exists,history,discipline,29,Philosophie der Moderne,https://www.philosophie.ch/philosophie-der-moderne,philosophie-der-moderne
exists,history,discipline,28,Philosophie des Mittelalters,https://www.philosophie.ch/philosophie-des-mittelalters,philosophie-des-mittelalters
exists,language,discipline,26,Ästhetik,https://www.philosophie.ch/aesthetik,aesthetik
exists,language,discipline,19,Geschichtsphilosophie,https://www.philosophie.ch/philosophie-der-geschichte,philosophie-der-geschichte
exists,language,discipline,24,Hermeneutik,https://www.philosophie.ch/hermeneutik,hermeneutik
exists,language,discipline,25,Phänomenologie,https://www.philosophie.ch/phaenomenologie,phaenomenologie
exists,language,discipline,22,Philosophie des Geistes,https://www.philosophie.ch/philosophie-des-geistes,philosophie-des-geistes
exists,language,discipline,23,Sprachphilosophie,https://www.philosophie.ch/sprachphilosophie,sprachphilosophie
exists,logic,discipline,10,Erkenntnistheorie,https://www.philosophie.ch/erkenntnistheorie,erkenntnistheorie
exists,logic,discipline,20,Logik,https://www.philosophie.ch/logik,logik
exists,logic,discipline,9,Metaphysik,https://www.philosophie.ch/metaphysik,metaphysik
exists,logic,discipline,14,Wissenschaftsphilosophie,https://www.philosophie.ch/wissenschaftsphilosophie,wissenschaftsphilosophie
exists,ethic,focus,143,020724_,https://www.philosophie.ch/anarchism,anarchism
exists,ethic,focus,,Armutsforschung,https://www.philosophie.ch/armutsforschung,armutsforschung
exists,ethic,focus,,Cancel Culture,https://www.philosophie.ch/cancel-culture,cancel-culture
exists,ethic,focus,106,Covid-19,ttps://www.philosophie.ch/covid-19,ttps://www.philosophie.ch/covid-19
exists,ethic,focus,104,Demokratie/Wahrheit,https://www.philosophie.ch/demokratie-und-wahrheit,demokratie-und-wahrheit
exists,ethic,focus,125,Diskriminierung,https://www.philosophie.ch/diskriminierung,diskriminierung
exists,ethic,focus,102,Erziehung,https://www.philosophie.ch/erziehung,erziehung
exists,ethic,focus,18,Feminismus,https://www.philosophie.ch/feminismus,feminismus
