id,old_tags,new_tags,tagging_status,unexpected_error,changed?
4481,"[""French"", ""article""]","[""French"", ""article""]",,Validation failed: URL-Path has already been taken,FALSO
4482,"[""article"", ""Italian""]","[""article"", ""Italian""]",,Validation failed: URL-Path has already been taken,FALSO
5282,"[""page type: presentation page"", ""region: NE""]","[""page type: presentation page"", ""region: NE""]",success,,FALSO
9755,[],[],success,,FALSO
9756,[],[],success,,FALSO
9757,[],[],success,,FALSO
9758,[],[],success,,FALSO
9759,"[""page type: event"", ""region: TI""]","[""page type: event"", ""region: TI""]",success,,FALSO
9760,"[""page type: article about event"", ""region: TI""]","[""page type: article about event"", ""region: TI""]",success,,FALSO
9761,"[""page type: presentation page"", ""special content: high-schools""]","[""page type: presentation page"", ""special content: high-schools""]",success,,FALSO
9762,[],[],success,,FALSO
9763,[],[],success,,FALSO
9765,[],[],success,,FALSO
9766,[],[],success,,FALSO
9767,[],[],success,,FALSO
9320,"[""other: other: page type: event"", ""other: other: canton: VD""]","[""page type: event"", ""canton: VD""]",success,,VERDADERO
9153,"[""other: other: page type: event"", ""other: other: university: UniNE"", ""other: other: canton: NE""]","[""page type: event"", ""university: UniNE"", ""canton: NE""]",success,,VERDADERO
9028,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9283,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9306,"[""other: other: page type: event"", ""other: other: canton: VD""]","[""page type: event"", ""canton: VD""]",success,,VERDADERO
9152,"[""other: other: page type: event"", ""other: other: university: UniNE"", ""other: other: canton: NE""]","[""page type: event"", ""university: UniNE"", ""canton: NE""]",success,,VERDADERO
9282,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9151,"[""other: other: page type: event"", ""other: other: university: UniNE"", ""other: other: canton: NE""]","[""page type: event"", ""university: UniNE"", ""canton: NE""]",success,,VERDADERO
9326,"[""other: other: page type: event"", ""other: other: canton: VD""]","[""page type: event"", ""canton: VD""]",success,,VERDADERO
9110,"[""other: other: page type: event"", ""other: other: canton: TI"", ""other: other: university: USI""]","[""page type: event"", ""canton: TI"", ""university: USI""]",success,,VERDADERO
9109,"[""other: other: page type: event"", ""other: other: canton: TI"", ""other: other: university: USI""]","[""page type: event"", ""canton: TI"", ""university: USI""]",success,,VERDADERO
9027,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9303,"[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]","[""page type: event"", ""canton: VD"", ""university: UniL""]",success,,VERDADERO
9150,"[""other: other: page type: event"", ""other: other: university: UniNE"", ""other: other: canton: NE""]","[""page type: event"", ""university: UniNE"", ""canton: NE""]",success,,VERDADERO
9290,"[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]","[""page type: event"", ""canton: VD"", ""university: UniL""]",success,,VERDADERO
9291,"[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]","[""page type: event"", ""canton: VD"", ""university: UniL""]",success,,VERDADERO
9202,"[""other: other: page type: event"", ""other: other: canton: BE"", ""other: other: university: UniBE""]","[""page type: event"", ""canton: BE"", ""university: UniBE""]",success,,VERDADERO
9273,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9164,"[""other: other: page type: event"", ""other: other: canton: TI"", ""other: other: university: USI""]","[""page type: event"", ""canton: TI"", ""university: USI""]",success,,VERDADERO
9026,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9201,"[""other: other: page type: event"", ""other: other: canton: BE"", ""other: other: university: UniBE""]","[""page type: event"", ""canton: BE"", ""university: UniBE""]",success,,VERDADERO
9272,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9346,"[""other: other: page type: event"", ""other: other: canton: BE""]","[""page type: event"", ""canton: BE""]",success,,VERDADERO
9107,"[""other: other: page type: event"", ""other: other: canton: TI"", ""other: other: university: USI""]","[""page type: event"", ""canton: TI"", ""university: USI""]",success,,VERDADERO
8958,"[""other: other: language: English"", ""other: other: page type: article about event"", ""other: other: canton: FR"", ""other: other: university: UniFR""]","[""language: English"", ""page type: article about event"", ""canton: FR"", ""university: UniFR""]",success,,VERDADERO
9111,"[""other: other: canton: GE"", ""other: other: language: English"", ""other: other: page type: article about event""]","[""canton: GE"", ""language: English"", ""page type: article about event""]",success,,VERDADERO
9301,"[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]","[""page type: event"", ""canton: VD"", ""university: UniL""]",success,,VERDADERO
9139,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9271,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9021,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9298,"[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]","[""page type: event"", ""canton: VD"", ""university: UniL""]",success,,VERDADERO
9146,"[""other: other: page type: event"", ""other: other: university: UniNE"", ""other: other: canton: NE""]","[""page type: event"", ""university: UniNE"", ""canton: NE""]",success,,VERDADERO
9342,"[""other: other: page type: event"", ""other: other: canton: BE""]","[""page type: event"", ""canton: BE""]",success,,VERDADERO
9033,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9270,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9324,"[""other: other: page type: event"", ""other: other: canton: VD""]","[""page type: event"", ""canton: VD""]",success,,VERDADERO
9307,"[""other: other: page type: event"", ""other: other: canton: VD""]","[""page type: event"", ""canton: VD""]",success,,VERDADERO
9269,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9094,"[""other: other: page type: event"", ""other: other: canton: FR"", ""other: other: university: UniFR""]","[""page type: event"", ""canton: FR"", ""university: UniFR""]",success,,VERDADERO
9295,"[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]","[""page type: event"", ""canton: VD"", ""university: UniL""]",success,,VERDADERO
9289,"[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]","[""page type: event"", ""canton: VD"", ""university: UniL""]",success,,VERDADERO
9105,"[""other: other: page type: event"", ""other: other: canton: TI"", ""other: other: university: USI""]","[""page type: event"", ""canton: TI"", ""university: USI""]",success,,VERDADERO
9142,"[""other: other: page type: event"", ""other: other: university: UniNE"", ""other: other: canton: NE""]","[""page type: event"", ""university: UniNE"", ""canton: NE""]",success,,VERDADERO
9287,"[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]","[""page type: event"", ""canton: VD"", ""university: UniL""]",success,,VERDADERO
9292,"[""other: other: page type: event"", ""other: other: canton: VD"", ""other: other: university: UniL""]","[""page type: event"", ""canton: VD"", ""university: UniL""]",success,,VERDADERO
9315,"[""other: other: page type: event"", ""other: other: canton: VD""]","[""page type: event"", ""canton: VD""]",success,,VERDADERO
9198,"[""other: other: page type: event"", ""other: other: canton: BE"", ""other: other: university: UniBE""]","[""page type: event"", ""canton: BE"", ""university: UniBE""]",success,,VERDADERO
9335,"[""other: other: page type: event"", ""other: other: canton: BE""]","[""page type: event"", ""canton: BE""]",success,,VERDADERO
9349,"[""other: other: page type: event"", ""other: other: canton: VD""]","[""page type: event"", ""canton: VD""]",success,,VERDADERO
9329,"[""other: other: page type: event"", ""other: other: canton: VD""]","[""page type: event"", ""canton: VD""]",success,,VERDADERO
9330,"[""other: other: page type: event"", ""other: other: canton: VD""]","[""page type: event"", ""canton: VD""]",success,,VERDADERO
9175,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
9313,"[""other: other: page type: event"", ""other: other: canton: VD""]","[""page type: event"", ""canton: VD""]",success,,VERDADERO
9309,"[""other: other: page type: event"", ""other: other: canton: VD""]","[""page type: event"", ""canton: VD""]",success,,VERDADERO
9265,"[""other: other: page type: event"", ""other: other: canton: GE"", ""other: other: university: UniGE""]","[""page type: event"", ""canton: GE"", ""university: UniGE""]",success,,VERDADERO
