id,old_tags,new_tags,tagging_status,unexpected_error
5747,presentation page;German;BE,page type: presentation page;language: German;university: Cafe;canton: BE;,success,
8003,presentation page;German;BE,page type: presentation page;language: German;university: Cafe;canton: BE;,success,
8007,presentation page;German;BE,page type: presentation page;language: German;university: Cafe;canton: BE;,success,
9246,presentation page;German;BE,page type: presentation page;language: German;university: Cafe;canton: BE;,success,
7977,high-schools;presentation page;BE,page type: presentation page;language: French;university: PH;canton: BE;special content 1: high schools;,success,
8078,high-schools;presentation page;BE,page type: presentation page;language: German;university: PH;canton: BE;special content 1: high schools;,success,
9224,high-schools;presentation page;BE,page type: presentation page;language: German;university: PH;canton: BE;special content 1: high schools;,success,
5126,presentation page;BE,page type: presentation page;language: German;university: Soc;canton: BE;,success,
9198,UniBE;event;BE,page type: event;university: UniBE;canton: BE;,success,
9199,UniBE;event;BE,page type: event;university: UniBE;canton: BE;,success,
9201,UniBE;event;BE,page type: event;university: UniBE;canton: BE;,success,
9202,UniBE;event;BE,page type: event;university: UniBE;canton: BE;,success,
9575,UniBE;event;BE,page type: event;university: UniBE;canton: BE;,success,
1662,article with pdf;metaphi;UniBE;German;BE,page type: media article;media 1: pdf;language: German;university: UniBE;canton: BE;special content 1: metaphi;,success,
5886,article with pdf;metaphi;UniBE;German;BE,page type: media article;media 1: pdf;language: German;university: UniBE;canton: BE;special content 1: metaphi;,success,
5887,metaphi;article with pdf;UniBE;German;BE,page type: media article;media 1: pdf;language: German;university: UniBE;canton: BE;special content 1: metaphi;,success,
5889,metaphi;article with pdf;UniBE;German;BE,page type: media article;media 1: pdf;language: German;university: UniBE;canton: BE;special content 1: metaphi;,success,
5890,metaphi;article with pdf;UniBE;German;BE,page type: media article;media 1: pdf;language: German;university: UniBE;canton: BE;special content 1: metaphi;,success,
5891,metaphi;article with pdf;UniBE;German;BE,page type: media article;media 1: pdf;language: German;university: UniBE;canton: BE;special content 1: metaphi;,success,
5892,metaphi;article with pdf;UniBE;German;BE,page type: media article;media 1: pdf;language: German;university: UniBE;canton: BE;special content 1: metaphi;,success,
5893,metaphi;article with pdf;UniBE;German;BE,page type: media article;media 1: pdf;language: German;university: UniBE;canton: BE;special content 1: metaphi;,success,
5894,metaphi;article with pdf;UniBE;German;BE,page type: media article;media 1: pdf;language: German;university: UniBE;canton: BE;special content 1: metaphi;,success,
5895,metaphi;article with pdf;UniBE;German;BE,page type: media article;media 1: pdf;language: German;university: UniBE;canton: BE;special content 1: metaphi;,success,
5901,metaphi;article with pdf;UniBE;German;BE,page type: media article;media 1: pdf;language: German;university: UniBE;canton: BE;special content 1: metaphi;,success,
